#{"t_start": 1767282671.5226421, "env_id": "None"}
r,l,t
125.35879,27,1.320977
238.84341,53,1.320994
81.46258,19,1.334472
75.96645,17,1.338349
86.6801,19,1.339663
81.74609,18,1.33968
168.41948,39,1.341337
79.79447,18,1.341353
138.98306,31,1.344798
74.94142,17,1.344819
89.86147,20,1.347533
110.02015,24,1.349972
76.17482,17,1.34999
71.41723,16,1.349995
82.4768,19,1.354053
105.314064,23,1.354071
93.95816,22,1.35644
71.22799,16,1.366037
80.53323,18,1.366076
71.32965,16,1.366081
82.85112,19,1.368575
75.12831,17,1.368591
76.00065,17,1.371439
84.105736,19,1.371456
80.67871,18,1.375128
156.70065,35,1.377965
83.2878,19,1.380637
70.43042,16,1.380654
67.73373,16,1.383547
93.71745,24,1.388774
109.96853,25,1.391734
77.556725,18,1.399648
102.48875,22,1.404937
132.69907,31,1.407558
156.8749,36,1.412835
75.32536,17,1.412862
81.301285,19,1.41602
124.20195,26,1.416045
88.77561,19,1.419047
114.29066,27,1.420427
70.89387,16,1.420442
78.391335,18,1.420447
125.36961,28,1.421979
143.83585,33,1.428792
175.79759,37,1.432666
148.45908,32,1.432694
129.60355,30,1.432699
96.489334,21,1.436306
87.94064,19,1.442361
69.76276,17,1.445266
73.16348,17,1.445285
86.697136,19,1.445291
81.36105,18,1.452065
70.77707,16,1.453574
71.10869,16,1.454864
83.706856,19,1.457472
88.88324,20,1.458738
69.565216,16,1.462652
71.86116,16,1.462685
114.10245,26,1.468168
136.38606,30,1.470757
100.72201,23,1.470774
85.13555,20,1.479372
89.13199,20,1.4794
105.625595,23,1.483461
90.874405,20,1.483478
128.2491,29,1.486399
70.83696,16,1.489792
93.3006,22,1.489811
89.456314,20,1.491479
152.13733,35,1.495393
107.76273,24,1.495426
84.38852,19,1.500976
81.72395,18,1.503096
153.89378,35,1.503114
124.30722,28,1.507468
82.38873,19,1.514578
85.67392,19,1.514607
132.52165,30,1.51609
141.06584,32,1.526383
85.10617,20,1.526407
99.24984,22,1.529061
93.208176,20,1.530793
121.28879,27,1.532468
76.52176,17,1.532484
75.53471,17,1.532489
105.422775,24,1.532492
138.41019,30,1.53653
141.89235,31,1.541765
71.602974,16,1.541785
103.15179,22,1.544914
136.61429,32,1.54883
126.78315,29,1.548847
107.965805,24,1.554431
76.56868,17,1.557147
83.32783,19,1.558461
79.87862,18,1.560263
73.37555,17,1.560286
80.28838,18,1.561841
139.14595,30,1.565432
86.15133,19,1.565461
90.304634,20,1.566894
111.4744,25,1.569717
76.15924,17,1.571045
79.166954,18,1.574944
108.92407,24,1.584159
85.18715,19,1.587622
100.48288,22,1.589572
90.95136,20,1.594454
152.05594,34,1.603043
81.229,18,1.603077
75.5342,17,1.603083
91.7203,20,1.605058
71.356606,16,1.60642
120.23376,26,1.613113
119.095955,26,1.61314
148.25803,34,1.617487
130.07043,30,1.61888
127.46694,31,1.623711
76.183395,17,1.623729
97.15355,21,1.624896
107.26034,25,1.624913
75.939804,17,1.632748
158.02701,33,1.634212
89.662445,20,1.634231
137.16933,29,1.645355
113.15613,25,1.646847
122.59628,27,1.650244
118.22213,27,1.651773
118.03869,26,1.65179
94.18141,21,1.656609
106.762794,24,1.656628
71.05981,16,1.656633
81.06042,18,1.658035
76.236404,17,1.664526
116.11729,28,1.66643
100.058075,22,1.666451
87.92385,20,1.668941
86.10541,19,1.679229
137.37091,30,1.679255
165.44046,38,1.680799
66.08615,16,1.684753
71.08638,16,1.686378
86.27697,19,1.686428
78.58908,18,1.68811
87.857605,21,1.688157
80.91792,18,1.688184
101.214485,23,1.691998
134.12804,34,1.693721
144.78864,31,1.701901
90.84581,21,1.703447
107.347664,23,1.705887
81.32687,18,1.714324
70.72456,16,1.717286
108.771225,29,1.717307
81.443275,18,1.718714
123.868034,28,1.71873
104.23927,22,1.718735
141.49321,29,1.735621
76.46459,17,1.737073
71.868454,16,1.737091
112.10915,24,1.739914
133.09006,30,1.741419
119.82878,26,1.744061
132.07054,31,1.748976
137.98334,32,1.751096
71.468124,16,1.752625
82.16897,18,1.754106
151.08183,36,1.75566
83.28137,19,1.757504
88.63513,20,1.75752
142.31468,32,1.770635
71.03699,16,1.770673
71.23724,16,1.775886
149.50653,33,1.777624
109.01617,24,1.779325
114.89869,25,1.782499
113.12989,25,1.782517
71.528435,16,1.783915
84.29943,19,1.788528
79.87724,18,1.789951
112.70296,26,1.789968
170.25012,38,1.79131
114.93011,25,1.794668
114.67576,25,1.796412
76.16709,17,1.800295
116.40263,25,1.802043
140.6221,31,1.80382
87.6555,19,1.803836
82.64259,18,1.807132
75.97459,17,1.810918
91.27187,20,1.815627
76.211044,17,1.817042
83.623344,19,1.818463
82.23571,18,1.822055
76.11107,17,1.823946
108.572205,23,1.825309
73.91979,17,1.826996
98.83364,23,1.833962
87.45865,19,1.838018
81.07053,18,1.838041
99.02954,22,1.840478
89.58763,20,1.840495
126.90368,29,1.842103
81.11471,18,1.84212
131.19324,28,1.84793
72.89361,17,1.854125
117.97705,25,1.857826
103.79158,23,1.857848
104.484665,24,1.863302
76.11768,17,1.870266
85.96378,19,1.870298
88.165436,22,1.870303
76.607285,18,1.873282
100.94554,22,1.87509
89.74406,20,1.875106
161.39319,35,1.877058
138.55608,30,1.878651
145.28363,33,1.880339
71.590256,16,1.882883
181.9239,44,1.886094
79.95702,18,1.888911
131.64503,28,1.890299
81.978134,18,1.897268
134.06451,30,1.902112
73.16739,17,1.902135
76.72312,17,1.904817
81.46208,18,1.909118
71.17261,16,1.910859
73.52744,17,1.913785
86.718346,20,1.913803
110.24658,25,1.915429
133.04323,33,1.916995
121.1692,26,1.923641
125.976875,28,1.931258
104.43602,24,1.934977
169.61476,37,1.938362
110.18696,25,1.938381
91.1736,20,1.938387
81.54308,18,1.941445
80.25331,18,1.943068
74.973885,17,1.946183
133.07368,32,1.94621
84.27955,19,1.949661
87.39576,19,1.952823
83.73507,19,1.958324
155.33849,35,1.96036
144.5205,32,1.960382
149.14713,34,1.966782
75.042145,17,1.968152
80.9621,18,1.973742
131.36328,32,1.973771
74.930016,17,1.975906
97.35954,21,1.975931
71.38929,16,1.980033
107.86286,23,1.985681
95.438484,21,1.987123
146.0531,32,1.988525
76.53698,17,1.988543
131.85399,29,1.989935
91.89123,20,1.993892
162.56789,37,2.00192
127.830475,31,2.001958
76.24299,17,2.006046
74.58044,18,2.007377
98.67347,22,2.014242
125.242455,28,2.017308
101.51784,22,2.020116
116.40522,26,2.020135
161.5263,35,2.021722
143.6937,32,2.025561
100.19091,22,2.025582
115.2016,24,2.030623
89.5571,20,2.035108
80.992256,18,2.038322
133.32233,30,2.041182
137.82271,33,2.042707
91.2159,22,2.046395
78.62605,18,2.048111
118.23651,29,2.052533
149.0534,33,2.054028
177.01067,37,2.055357
93.333565,21,2.058166
95.78021,22,2.058183
87.92743,20,2.059509
138.77612,30,2.064858
109.06744,27,2.067445
84.05998,19,2.070659
71.55181,16,2.070683
80.99397,18,2.079002
117.67463,27,2.090268
76.76055,17,2.094334
69.50077,16,2.098041
150.0186,32,2.098098
101.838524,22,2.098105
138.60149,36,2.10333
112.677505,27,2.103366
98.79274,21,2.103372
95.14539,21,2.105918
66.39266,15,2.110423
92.70748,20,2.113378
101.06738,22,2.125278
103.8619,23,2.132894
