#{"t_start": 1766737065.6382568, "env_id": "None"}
r,l,t
80362.41,1000,36.569388
75786.07,1000,36.569391
62907.14,1000,36.569393
68524.76,1000,36.569396
71089.98,1000,36.569399
71960.53,1000,36.569402
63942.96,1000,36.569405
78868.11,1000,36.569408
62249.883,1000,36.569415
54907.055,1000,36.569418
52492.457,1000,36.569421
76002.16,1000,36.569423
72202.56,1000,36.569426
70659.95,1000,38.803261
85138.1,1000,38.8033
72435.81,1000,38.803307
91408.234,1000,38.80331
66061.9,1000,38.803313
71672.79,1000,38.803316
64279.59,1000,38.80332
75416.914,1000,38.803323
76781.29,1000,38.803326
74441.48,1000,38.803328
60510.082,1000,38.803331
93186.96,1000,38.803335
80821.98,1000,38.803339
78530.805,1000,38.803341
82743.18,1000,38.803344
85464.83,1000,38.803347
102003.27,1000,40.606652
94457.52,1000,40.606692
70207.86,1000,40.606698
63122.535,1000,40.606701
69439.84,1000,40.606704
69479.06,1000,40.606707
63202.81,1000,40.606709
96879.875,1000,40.606712
83825.734,1000,40.606715
87239.2,1000,40.606718
72648.94,1000,40.606721
99979.336,1000,40.606724
79645.25,1000,40.606726
70495.62,1000,40.606729
67340.805,1000,40.606732
99064.86,1000,40.606735
76308.94,1000,42.858191
82188.12,1000,42.858231
81295.016,1000,42.858237
86165.875,1000,42.858241
107980.5,1000,42.858244
53861.324,1000,42.858247
70986.36,1000,42.85825
84432.85,1000,42.858253
79136.78,1000,42.858256
56850.44,1000,42.858259
83567.4,1000,42.858262
95973.195,1000,42.858264
73537.55,1000,42.858267
89181.13,1000,42.85827
83073.62,1000,42.858273
77141.53,1000,42.858275
86898.21,1000,44.663823
84624.055,1000,44.663862
87836.55,1000,44.663868
93794.82,1000,44.663872
99479.38,1000,44.663875
74734.29,1000,44.663878
71967.82,1000,44.663881
73859.68,1000,44.663884
80358.67,1000,44.663887
80371.914,1000,44.663889
94084.97,1000,44.663892
65559.73,1000,44.663895
73659.67,1000,44.663898
78355.75,1000,44.663901
83135.555,1000,44.663904
74178.51,1000,44.663907
80090.82,1000,46.923601
97702.98,1000,46.923639
67377.83,1000,46.923645
80876.664,1000,46.923656
76372.48,1000,46.923659
68629.195,1000,46.923663
77984.89,1000,46.923666
83881.59,1000,46.92367
91220.22,1000,46.923672
66357.414,1000,46.923675
62814.37,1000,46.923677
77144.48,1000,46.92368
81159.23,1000,46.923682
85671.0,1000,46.923685
81949.81,1000,46.923687
77798.586,1000,46.92369
87874.9,1000,48.715368
91132.49,1000,48.715404
73822.11,1000,48.715409
68118.9,1000,48.715415
85587.92,1000,48.715418
63531.67,1000,48.715421
90344.164,1000,48.715424
82310.805,1000,48.715426
68595.41,1000,48.715429
100661.81,1000,48.715431
87950.53,1000,48.715434
74516.55,1000,48.715437
72315.56,1000,48.715439
94213.61,1000,48.715441
101311.69,1000,48.715444
76658.14,1000,48.715447
82241.83,1000,50.940685
84259.93,1000,50.940716
75262.73,1000,50.940722
82997.81,1000,50.940725
92424.34,1000,50.940728
76319.74,1000,50.940731
82523.02,1000,50.940733
81998.26,1000,50.940736
91389.04,1000,50.940739
76693.54,1000,50.940742
71303.97,1000,50.940744
65512.01,1000,50.940747
85896.47,1000,50.94075
99346.78,1000,50.940753
88620.35,1000,50.940756
85868.53,1000,50.940758
65193.668,1000,52.744846
101068.44,1000,52.744886
90838.37,1000,52.744893
74404.94,1000,52.744898
79323.73,1000,52.744902
90595.05,1000,52.744906
95300.94,1000,52.74491
77497.2,1000,52.744913
77592.914,1000,52.744916
85889.07,1000,52.744919
78752.734,1000,52.744922
60436.05,1000,52.744924
97660.695,1000,52.744927
68629.26,1000,52.74493
75015.75,1000,52.744933
63891.0,1000,52.744936
90638.05,1000,55.003587
74813.71,1000,55.003624
86590.81,1000,55.00363
82911.75,1000,55.003633
72993.21,1000,55.003637
78623.46,1000,55.00364
71764.64,1000,55.003643
68995.055,1000,55.003645
70051.62,1000,55.003648
80453.57,1000,55.003651
80756.375,1000,55.003654
87152.914,1000,55.003657
79979.805,1000,55.00366
74412.3,1000,55.003662
71501.0,1000,55.003665
88431.805,1000,55.003669
72954.61,1000,56.840571
106884.97,1000,56.840613
90252.68,1000,56.840619
88294.89,1000,56.840622
69844.99,1000,56.840625
104577.805,1000,56.840628
110443.836,1000,56.840631
83050.875,1000,56.840634
92371.26,1000,56.840637
100693.28,1000,56.84064
90829.07,1000,56.840643
94919.68,1000,56.840646
58479.973,1000,56.840649
101203.414,1000,56.840652
81478.375,1000,56.840654
67491.836,1000,56.840657
82103.016,1000,59.09207
104753.68,1000,59.092111
73752.26,1000,59.092117
60145.258,1000,59.092121
98731.31,1000,59.092124
91388.19,1000,59.092127
108125.45,1000,59.09213
81944.61,1000,59.092133
95170.85,1000,59.092136
97553.12,1000,59.092139
74188.586,1000,59.092142
99286.57,1000,59.092144
89306.64,1000,59.092148
109307.39,1000,59.09215
69779.1,1000,59.092153
88042.67,1000,59.092156
89432.48,1000,60.884912
99627.35,1000,60.884949
77054.76,1000,60.884955
101945.57,1000,60.884958
93136.27,1000,60.884961
97106.39,1000,60.884964
81377.45,1000,60.884967
102074.984,1000,60.884969
102092.34,1000,60.884973
75841.19,1000,60.884975
88921.24,1000,60.884978
78035.03,1000,60.884981
79212.31,1000,60.884983
101898.46,1000,60.884986
93285.98,1000,60.884989
80018.79,1000,60.884991
95183.26,1000,63.126849
99354.766,1000,63.126889
83687.06,1000,63.126895
82845.82,1000,63.126898
105124.44,1000,63.126901
96077.56,1000,63.126904
77294.586,1000,63.126907
87175.76,1000,63.12691
95862.94,1000,63.126913
88486.266,1000,63.126916
94267.48,1000,63.126919
100623.95,1000,63.126921
87452.58,1000,63.126924
99804.375,1000,63.126927
99357.234,1000,63.12693
80776.336,1000,63.126933
90681.54,1000,64.918763
97497.695,1000,64.918801
115226.73,1000,64.918807
95101.38,1000,64.91881
93682.38,1000,64.918813
76482.414,1000,64.918817
95936.586,1000,64.91882
86042.33,1000,64.918823
119621.36,1000,64.918825
79934.23,1000,64.918828
102299.305,1000,64.918831
62625.656,1000,64.918834
90211.01,1000,64.918837
92173.57,1000,64.91884
102723.51,1000,64.918842
85185.305,1000,64.918845
80515.2,1000,67.154176
101814.33,1000,67.154216
71928.4,1000,67.154224
80964.06,1000,67.154227
78544.89,1000,67.154231
96211.66,1000,67.154234
73033.81,1000,67.154243
88280.9,1000,67.154246
94483.43,1000,67.154248
87411.445,1000,67.154251
90241.63,1000,67.154254
101896.49,1000,67.154257
88022.61,1000,67.154259
77261.46,1000,67.154261
93659.26,1000,67.154264
119869.086,1000,67.154266
75203.805,1000,89.710154
79515.51,1000,89.710221
72423.12,1000,89.710227
78316.945,1000,89.710231
88536.05,1000,89.710234
94125.875,1000,89.710238
74276.66,1000,89.710241
68920.76,1000,89.710244
97803.14,1000,89.710247
87559.44,1000,89.71025
77572.73,1000,89.710254
120151.35,1000,89.710258
81269.64,1000,89.710261
62258.63,1000,89.710264
106444.95,1000,89.710267
76153.52,1000,89.71027
106136.664,1000,91.994215
93967.64,1000,91.994257
65845.93,1000,91.994264
91109.93,1000,91.994268
84635.5,1000,91.994272
86578.07,1000,91.994275
89840.44,1000,91.994278
132029.6,1000,91.994281
80414.414,1000,91.994284
78377.27,1000,91.994288
85970.96,1000,91.994291
75864.73,1000,91.994294
89225.305,1000,91.994297
88202.26,1000,91.994301
