#{"t_start": 1767536108.501753, "env_id": "None"}
r,l,t
41710.676,1000,3.274227
35941.242,1000,3.275271
46880.367,1000,3.27529
38623.582,1000,3.275301
40169.34,1000,3.27531
39191.867,1000,3.275318
40585.453,1000,3.275326
44647.4,1000,5.685776
39875.965,1000,5.685957
38368.895,1000,5.685978
37384.797,1000,5.685989
43522.914,1000,5.685997
37705.32,1000,5.686005
40894.004,1000,5.686013
37013.336,1000,12.827678
46844.047,1000,12.828102
45395.8,1000,12.828117
40788.566,1000,12.828127
45595.875,1000,12.828135
39056.38,1000,12.828143
37940.242,1000,12.82815
39123.97,1000,15.468932
45970.117,1000,15.469062
38966.465,1000,15.469076
40858.266,1000,15.469085
40335.46,1000,15.469098
39719.926,1000,15.469107
37044.83,1000,15.469114
44105.66,1000,21.768898
43421.12,1000,21.769573
45119.594,1000,21.769877
40548.3,1000,21.770127
38728.37,1000,21.771216
40122.54,1000,21.771269
40376.344,1000,21.77134
46084.656,1000,25.035672
44099.527,1000,25.03617
45291.676,1000,25.036187
53659.96,1000,25.036197
49557.29,1000,25.036205
47013.008,1000,25.036212
41936.406,1000,25.036225
42074.883,1000,32.199616
43674.89,1000,32.200677
42024.137,1000,32.200698
39646.08,1000,32.20071
51759.9,1000,32.200737
59308.086,1000,32.200745
46889.137,1000,32.200753
47895.88,1000,35.80154
47355.453,1000,35.802445
45897.04,1000,35.80248
48195.863,1000,35.802492
43874.35,1000,35.802502
43757.62,1000,35.80251
54255.086,1000,35.802518
55708.87,1000,41.969491
51677.17,1000,41.969804
49779.44,1000,41.969819
46613.1,1000,41.969828
50719.01,1000,41.969836
52009.324,1000,41.969843
42706.805,1000,41.96985
51322.27,1000,44.592616
47480.406,1000,44.592749
62247.39,1000,44.592762
46309.246,1000,44.592771
55591.445,1000,44.59278
49753.402,1000,44.592787
50965.17,1000,44.592795
48730.773,1000,50.485572
49759.707,1000,50.486281
52023.91,1000,50.486297
46397.605,1000,50.486307
54661.434,1000,50.486315
51865.508,1000,50.486323
50913.55,1000,50.48633
59393.18,1000,52.870074
58570.098,1000,52.870214
50865.625,1000,52.870228
55044.95,1000,52.870238
56216.473,1000,52.870246
56321.43,1000,52.870255
49906.168,1000,52.870262
57355.395,1000,58.427126
49158.082,1000,58.427525
60137.836,1000,58.427547
47980.844,1000,58.427558
52021.84,1000,58.427566
51851.55,1000,58.427574
65209.387,1000,58.427581
54954.496,1000,60.781908
64966.19,1000,60.782078
67672.4,1000,60.782091
49735.58,1000,60.782101
59130.98,1000,60.782109
65390.85,1000,60.782117
62390.074,1000,60.782124
53035.027,1000,66.427702
47422.22,1000,66.427992
56782.613,1000,66.428025
61607.125,1000,66.42804
59432.52,1000,66.428053
52408.04,1000,66.428066
63069.984,1000,66.428077
52543.445,1000,69.814443
57016.7,1000,69.815
63284.348,1000,69.81502
61168.53,1000,69.815031
53627.375,1000,69.815039
61121.598,1000,69.815047
78759.07,1000,69.815058
69279.77,1000,76.333198
67890.19,1000,76.333824
52329.47,1000,76.33384
72110.586,1000,76.33385
59745.285,1000,76.333859
57778.094,1000,76.333867
62638.805,1000,76.333874
62063.695,1000,78.630798
79084.45,1000,78.63086
69390.84,1000,78.630872
51582.473,1000,78.630881
57153.89,1000,78.630889
64673.305,1000,78.630896
61787.97,1000,78.630903
79122.91,1000,83.625643
65208.168,1000,83.626011
67082.75,1000,83.626033
74994.04,1000,83.626043
64485.703,1000,83.626052
61491.207,1000,83.626059
63597.656,1000,83.626066
47083.02,1000,86.028464
83766.805,1000,86.028655
62708.934,1000,86.028672
71664.52,1000,86.028686
45380.81,1000,86.028697
67063.63,1000,86.028707
80925.71,1000,86.028718
72478.41,1000,91.338871
68224.44,1000,91.339291
80049.66,1000,91.339313
53929.418,1000,91.339324
59201.105,1000,91.339332
75452.44,1000,91.339343
74293.66,1000,91.339351
77164.14,1000,93.512064
59839.34,1000,93.512119
72236.51,1000,93.512131
81428.12,1000,93.51214
75866.57,1000,93.512148
74029.164,1000,93.512156
73068.1,1000,93.512164
76203.49,1000,98.938702
70205.24,1000,98.939105
83126.15,1000,98.939126
79524.336,1000,98.939137
